char,order
一,1
二,2
三,3
十,4
四,5
五,6
六,7
七,8
八,9
九,10
不,11
是,12
月,13
日,14
天,15
明,16
今,17
吗,18
昨,19
几,20
有,21
门,22
马,23
友,24
朋,25
儿,26
女,27
人,28
男,29
妈,30
子,31
我,32
的,33
们,34
她,35
他,36
你,37
好,38
个,39
家,40
在,41
这,42
也,43
点,44
知,45
道,46
谁,47
书,48
那,49
去,50
本,51
多,52
很,53
哪,54
里,55
了,56
现,57
认,58
识,59
想,60
要,61
吃,62
饭,63
话,64
说,65
真,66
名,67
字,68
会,69
写,70
么,71
什,72
岁,73
年,74
做,75
呢,76
为,77
来,78
师,79
老,80
开,81
车,82
爸,83
看,84
回,85
没,86
还,87
学,88
生,89
都,90
两,91
大,92
房,93
间,94
和,95
上,96
小,97
下,98
面,99
东,100
西,101
能,102
走,103
已,104
经,105
再,106
见,107
过,108
到,109
快,110
听,111
怎,112
晚,113
对,114
起,115
前,116
以,117
可,118
就,119
样,120
星,121
期,122
候,123
时,124
住,125
吧,126
出,127
玩,128
跟,129
给,130
钱,131
些,132
中,133
国,134
午,135
菜,136
喜,137
欢,138
只,139
后,140
店,141
找,142
得,143
气,144
拿,145
少,146
长,147
每,148
笑,149
早,150
太,151
问,152
路,153
外,154
从,155
边,156
次,157
第,158
手,159
水,160
地,161
方,162
心,163
半,164
花,165
它,166
己,167
自,168
头,169
行,170
校,171
坐,172
椅,173
作,174
工,175
医,176
院,177
睡,178
觉,179
打,180
电,181
果,182
苹,183
买,184
商,185
爱,186
狗,187
猫,188
桌,189
脑,190
块,191
杯,192
喝,193
茶,194
亮,195
漂,196
雨,197
服,198
衣,199
兴,200
高,201
姐,202
火,203
站,204
同,205
影,206
视,207
习,208
请,209
馆,210
机,211
飞,212
京,213
北,214
分,215
钟,216
冷,217
客,218
谢,219
新,220
送,221
租,222
热,223
叫,224
右,225
着,226
左,227
发,228
等,229
最,230
事,231
但,232
汉,233
语,234
别,235
关,236
系,237
把,238
读,239
让,240
完,241
海,242
用,243
零,244
喂,245
当,246
然,247
先,248
啊,249
进,250
该,251
带,252
情,253
所,254
旁,255
孩,256
室,257
汽,258
穿,259
色,260
黑,261
白,262
场,263
球,264
足,265
踢,266
动,267
运,268
员,269
篮,270
身,271
红,272
步,273
跑,274
号,275
床,276
张,277
纸,278
舞,279
跳,280
教,281
件,282
颜,283
病,284
报,285
泳,286
游,287
共,288
课,289
正,290
